motor_id;t;pos;vel;cmd
0;8190.000000;2.396674;0.544339;0.159286
0;8291.000000;2.464114;0.521586;0.162514
0;8392.000000;2.504798;0.529821;0.162514
0;8493.000000;2.571138;0.573274;0.164210
0;8594.000000;2.615853;0.591515;0.164210
0;8695.000000;2.688424;0.556744;0.165191
0;8796.000000;2.732407;0.537080;0.165191
0;8897.000000;2.799846;0.575295;0.166593
0;8998.000000;2.845295;0.573369;0.166593
0;9099.000000;2.916033;0.545079;0.171767
0;9200.000000;2.958549;0.562482;0.171767
0;9302.000000;3.029288;0.607768;0.171264
0;9403.000000;3.077302;0.613289;0.171264
0;9504.000000;3.153172;0.561383;0.171816
0;9605.000000;3.197521;0.566111;0.171816
0;9706.000000;3.268259;0.593852;0.175117
0;9807.000000;3.315173;0.591513;0.175117
0;9908.000000;3.388111;0.577972;0.180238
0;10009.000000;3.433193;0.638689;0.180238
0;10110.000000;3.512361;0.648458;0.178588
0;10211.000000;3.562941;0.613281;0.178588
0;10312.000000;3.638444;0.607771;0.182150
0;10413.000000;3.686458;0.638689;0.182150
0;10514.000000;3.765260;0.617055;0.182253
0;10615.000000;3.814007;0.609659;0.182253
0;10716.000000;3.890243;0.662552;0.185167
0;10817.000000;3.941922;0.678602;0.185167
0;10918.000000;4.025856;0.639059;0.185239
0;11019.000000;4.075702;0.635063;0.185239
0;11120.000000;4.154871;0.644893;0.186317
0;11222.000000;4.205817;0.628835;0.186317
0;11323.000000;4.284252;0.635616;0.190417
0;11424.000000;4.334466;0.693124;0.190417
0;11525.000000;4.420598;0.681351;0.189124
0;11626.000000;4.473743;0.642314;0.189124
0;11727.000000;4.553644;0.690753;0.194072
0;11828.000000;4.607523;0.667720;0.194072
0;11929.000000;4.690356;0.649535;0.193093
0;12030.000000;4.741669;0.689494;0.193093
0;12131.000000;4.827801;0.695457;0.193748
0;12232.000000;4.882046;0.682231;0.193748
0;12333.000000;4.965980;0.676650;0.199650
0;12434.000000;5.018758;0.696750;0.199650
0;12535.000000;5.104890;0.672731;0.197572
0;12636.000000;5.158036;0.682237;0.197572
0;12737.000000;5.243802;0.709837;0.195975
0;12838.000000;5.299879;0.689494;0.195975
0;12939.000000;5.384912;0.662559;0.203782
0;13040.000000;5.436591;0.722155;0.203782
0;13142.000000;5.525655;0.691283;0.203663
0;13243.000000;5.580267;0.689494;0.203663
0;13344.000000;5.666766;0.737684;0.201154
0;13445.000000;5.725042;0.729411;0.201154
0;13546.000000;5.814840;0.686650;0.204754
0;13647.000000;5.869085;0.736661;0.204754
0;13748.000000;5.960348;0.709545;0.206355
0;13849.000000;6.015693;0.707637;0.206355
0;13950.000000;6.104024;0.761233;0.207957
0;14051.000000;6.163400;0.762072;0.207957
0;14152.000000;6.257229;0.700560;0.207361
0;14253.000000;6.312574;0.725780;0.207361
0;14354.000000;6.402371;0.719114;0.209859
0;14455.000000;6.459182;0.722155;0.209859
0;14556.000000;6.549346;0.765934;0.211411
0;14657.000000;6.609088;0.762072;0.211411
0;14758.000000;6.702918;0.733039;0.213970
0;14859.000000;6.760095;0.754816;0.213970
0;14960.000000;6.853557;0.760877;0.212272
0;15062.000000;6.913667;0.754598;0.212272
0;15163.000000;7.008595;0.774789;0.211373
0;15264.000000;7.069804;0.751185;0.211373
0;15365.000000;7.162534;0.737740;0.217974
0;15466.000000;7.220078;0.762072;0.217974
0;15567.000000;7.314640;0.770629;0.217475
0;15668.000000;7.374749;0.783846;0.217475
0;15769.000000;7.472610;0.784073;0.213289
0;15870.000000;7.534552;0.747554;0.213289
0;15971.000000;7.627281;0.761233;0.220836
0;16072.000000;7.686657;0.780208;0.220836
0;16173.000000;7.783052;0.756523;0.221289
0;16274.000000;7.842062;0.820138;0.221289
0;16375.000000;7.943954;0.788708;0.216007
0;16476.000000;8.006263;0.769333;0.216007
0;16577.000000;8.102291;0.770154;0.219009
0;16678.000000;8.163134;0.765698;0.219009
0;16779.000000;8.258062;0.798834;0.224506
0;16880.000000;8.320371;0.838272;0.224506
0;16982.000000;8.424095;0.779437;0.221711
0;17083.000000;8.485671;0.787472;0.221711
0;17184.000000;8.583531;0.770154;0.222450
0;17285.000000;8.644374;0.758446;0.222450
0;17386.000000;8.739303;0.811910;0.223451
0;17487.000000;8.803444;0.809246;0.223451
0;17588.000000;8.902771;0.761236;0.228949
0;17689.000000;8.962147;0.820133;0.228949
0;17790.000000;9.063673;0.789412;0.227204
0;17891.000000;9.125248;0.801994;0.227204
